component, qty, cost, why, source
3d printed parts + shipping (custom mechanical parts), 1, $32, custom chassis mounts brackets and mechanical parts, https://printlegion.hackclub.com/
arduino uno r4 wifi (microcontroller board), 1, $17, main controller for logic communication and servo commands, https://www.amazon.in/Original-Arduino%C2%AE-UNO-%E0%A4%8F%E0%A4%95-WiFi/dp/B0F9X19JYB
seeed studio grove vision ai module v2 (ai vision processor), 1, $22, runs ai vision inference and processes camera input, https://robu.in/product/seeed-studio-grove-vision-ai-module-v2-arm-cortex-m55-ethos-u55-tensorflow-and-pytorch-supported-arduino-raspberry-pi-seeed-studio-xiao-esp-based-dev-board/
16-channel servo driver module (pwm controller), 1, $6, generates pwm signals for multiple servos, https://robu.in/product/servo-driver-module-shield-16-channel/
7.4v 2s 4200mah lipo (rechargeable battery), 1, $15.2, primary portable power source, https://robu.in/product/orange-4200mah-2s-35c-7-4v-lithium-polymer-battery-pack-lipo/
6v 8-10a ubec (voltage regulator), 1, $17.8, converts battery voltage to a stable 6v servo supply, https://robu.in/product/ubec-8a-6-36v-28s-lipo-esc/
fuse holder (inline automotive fuse holder), 1, $2, holds the main protection fuse, https://www.amazon.in/SHANOLEX-Holder-Plastic-Ceramic-Automotive/dp/B0HBKQHRX6
10a fuse (automotive blade fuse), 1, $2, protects wiring and electronics from overcurrent, https://www.amazon.in/Electronic-Spices-Automotive-Metal-Blade/dp/B0BHHGP522
2200uf 10v electrolytic capacitor (power smoothing capacitor), 10, $2, buffers servo current spikes and reduces voltage dips, https://robu.in/product/2200uf-10v-electrolytic-capacitor-pack-of-5/
18awg wire (high-current power wire), 2m, $1.25, carries servo and power-distribution current, https://robu.in/product/18awg-black-600v200c-single-core-teflon-wire/
30cm servo extension cable (servo signal and power extension), 2, $6.3, extends servo connections to remote actuators, https://www.amazon.in/30CM-Servo-Extension-Cable-Pack/dp/B0FBLG72DJ
ov5647 (5mp camera module), 1, $11.5, captures images for the vision ai processor, https://www.amazon.in/Arducam-Megapixels-Sensor-OV5647-Raspberry/dp/B012V1HEP4
170-point mini breadboard (prototyping board), 4, $2, temporary low-current circuit prototyping, https://robu.in/product/170-pts-mini-breadboard-syb-170-black/
mg996r (high-torque digital servo), 4, $15.5, drives load-bearing joints and high-torque mechanisms, https://robu.in/product/towerpro-mg996r-digital-high-torque-servo-motor/
mg90s (9g metal-gear servo), 3, $8.5, drives smaller lower-load mechanisms, https://robu.in/product/mg90s-9g-servo-metal-gear/
kcd1 (rocker power switch), 1, $0.5, provides physical master power control, https://robu.in/product/1-month-warranty-585/
608zz (8x22x7mm ball bearing), 10, $3.2, supports small shafts and reduces rotational friction, https://www.amazon.in/Invento-8x22x7mm-Bearings-Robotics-Projects/dp/B01LXLWLFK
6203 (17x40x12mm ball bearing), 10, $4.8, supports larger shafts and higher mechanical loads, https://www.amazon.in/HCH-17x40x12MM-RUBBER-BEARINGS-6203-2RS/dp/B0794MR2W7
usb-c cable (programming and data cable), 1, $4.2, programming and debugging connection, -
b3ac compact balance charger (2s/3s lipo charger), 1, $3.8, charges and balances individual lipo cells, https://robu.in/product/b3ac-compact-balance-charger-2s-3s-lipo/
xt60 female (high-current power connector), 1, $3.8, provides detachable high-current battery connection, https://www.amazon.in/Robocraze-XT60-Female-Connector-Silicon/dp/B0DPZDL158
xt60 male (high-current power connector), 1, $4.8, mates with the battery-side xt60 connection, https://www.amazon.in/Robocraze-XT60-Male-connector-pack/dp/B0DPZDLKY4
m3 screw kit (stainless steel fastener assortment), 1, $4.4, mounts servos bearings electronics and 3d-printed parts, https://www.amazon.in/SS304-Washer-Assortment-Spring-Washers/dp/B0H25QS4C8
zipties (nylon cable ties), 1, $1, secures wiring and prevents cable interference, https://www.amazon.in/NUOVI-Resistant-Self-Locking-Mechanism-Self-Lock/dp/B0F2SZX7MH
lipo safety bag (fire-resistant battery bag), 1, $6.8, isolates the lipo during charging and storage, https://www.amazon.in/REES52-Battery-Fireproof-Safety-Charging/dp/B07GKTZW4C
50cm camera cable (ribbon camera cable), 1, $4.6, connects the camera while allowing flexible physical placement, https://www.amazon.in/REES52-Ribbon-Camera-Cable-Raspberry/dp/B07MDGMW9S
total, -, $203.5, complete estimated build cost, -
